Designator,Quantity,Description,Footprint,Case,Manufacturer _Part_Number,Manufacturer Name,Manufacturer Part Number,Manufacturer_Name,Manufacturer_Part_Number

"C1, C14","2","Capacitor - 10uF [0603] (Tantalium)","CAPACITOR_0603 - TANTALUM","0603","","AVX","F380J106MMAAH3","",""
"C2, C8, C27, C33, C42","5","Capacitor - 1uF [0402] (Ceramic)","CAPACITOR_0402","0402","","Murata Electronics","GRM153R60J105ME95D","",""
"C3, C4, C9, C11, C16, C17, C18, C19, C20, C21, C25, C26, C30, C31, C32, C36, C37, C38, C39, C40, C41, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C62, C63, C67, C68, C69, C70, C71, C72, C73, C79, C82, C85, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C133, C134, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159, C160, C161, C162, C163, C164, C165, C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C227, C228, C233, C234","174","Capacitor - 33pF [0402] (Ceramic)","CAPACITOR_0402","0402","","Kemet","C0402C330J9RACAUTO","",""
"C5, C6, C10, C12, C13, C15, C22, C28, C29, C34, C35, C43, C44, C60, C61, C64, C65, C66, C76, C77, C78, C80, C81, C83, C84, C86, C87, C88, C89, C92, C93, C94, C130, C131, C132, C135, C136, C137, C223, C226, C229, C232","42","Capacitor - 100nF [0402-6V3] (Ceramic)","CAPACITOR_0402","0402","","AVX","04026D104KAT4A","",""
"C7","1","Capacitor - 47uF [0603] (Tantalium)","CAPACITOR_0603 - TANTALUM","0603","","AVX","F380J476MMAAXEH3","",""
"C23, C24","2","Capacitor - 1nF [0402] (Ceramic)","CAPACITOR_0402","0402","","AVX","04026C102MAT2A","",""
"C74, C75, C90, C91","4","Capacitor - 13pF [0402] (Ceramic)","CAPACITOR_0402","0402","","Kemet","CBR04C130F5GAC","",""
"C224, C225, C230, C231","4","Capacitor - 39uF 16V [Can] (Electrolytic)","CAPACITOR_CAN-B6","Can","","Panasonic","16SVPC39MV","",""
"D1, D2, D3","3","Standard LEDs - SMD PICOLED series Red LED","Wurth_0606","0606 (1616 metric)","","Wurth Elektronik","150066M153000","",""
"D4, Q1, Q2, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, RF1, U1, U2, U3, U4, U5, U9, U10, U11, U12, U14, U15, U16, U17, U18, U20, U21, U22","31","Standard LEDs - SMD PICOLEDTM;BLUE LED; 25M @ 5MA, Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2, MHF Antenna Socket, Power Switch MosFet, LDO Voltage Regulators 500-mA low-IQ small-size low-dropout (LDO) regulator., Telit GE910 GPRS/UMTS Module, SIM Chip MFF2, Timers & Support Products Ultra Low Power System Timer (35 nA) for Power Gating in duty cycled applications., 8-bit Microcontrollers - MCU 32KB In-system Flash 20MHz 1.8V-5.5V, Analogue Switch ICs 2:1 (SPDT), 4-channel switch with 1.8-V logic 16-TSSOP -40 to 125, Audio Amplifiers Audio High Volt, 8-bit Microcontrollers - MCU 256kB Flash 4kB EEPROM 86 I/O Pins, Switch ICs - Various 4-Channel I2C and SMBus, Real Time Clock 32.768kHz I2C Time Acc. 1ppm, Security ICs / Authentication ICs I C/SMBus Silicon Serial Number, Analog to Digital Converters - ADC 18B delta-sigma ADC dual Ch 4sps, Switching Voltage Regulators High current, high efficiency single inductor buck-boost converter 10-VSON-HR -40 to 125","LED_0402, SOT1215, Connector_IPEX, SOT-23-6, SOT-23-5, GE910 2G GSM Modem, MFF2, TQFP32, TSSOP-16, QFN2020-12, TQFP100, RV-3028-C7, DFN-8, VSON-10","0402, DFN-1010D-3, [NoParam], SOT-23-5, TQFP-32, TSSOP-16, VQFN2020-12, TQFP-100, SMD, DFN-8, VSON-10","[NoParam], TPL5111DDCT","","","ROHM Semiconductor, Nexperia, [NoParam], Texas Instruments, Microchip Technology / Atmel, Diodes Incorporated, Micro Crystal, Maxim Integrated, Microchip Technology","SMLP13BC8TT86, BC847AQAZ, [NoParam], TPS22917DBVR, TLV75533PDBVR, ATMEGA328P-AU, SN3257QPWRQ1, PAM8904EGPR, ATMEGA2560V-8AU, TCA9546APWR, RV-3028-C7, DS28CM00R-A00+T, MCP3422A0-E/MC, TPS63802DLAT"
"FB1, FB2","2","Ferrite Beads 0603 100ohms 2000mA Auto Infotainment","INDUCATOR_0603","0603","","Murata Electronics","BLM18EG101TZ1D","",""
"J1","1","Memory Card Connectors TFR READER (HINGE TYPE)","Connector - SD Module","","","Molex","47219-2001","",""
"J2, J3","2","Headers & Wire Housings BREAKAWAY HDR VERT 6","SAMTEC-FTSH-130-01-X-DV","","","Samtec","FTSH-130-01-F-DV","",""
"L1, L2","2","Fixed Inductor","INDUCTOR_0402","0402","","Murata Electronics","LQG15HN1N0S02D","",""
"L3, L4","2","Fixed Inductors 0.47uH 20% 11.2A 8.36mOhms AEC-Q200","INDUCTOR_XFL4015","XFL4015","","Coilcraft","XFL4015-471MEB","",""
"PZ1","1","Piezo Buzzers & Audio Indicators Piezo Buzzer 9x9mm 4KHz 1.9mm Thickness","Murata Piezzo Buzzer","","","Murata","PKMCS0909E4000-R1","",""
"Q3","1","Bipolar Transistors - BJT 45 V, 500 mA PNP gen purpose transistors","SOT1215","DFN-1010D-3","","Nexperia","BC807-40QAZ","",""
"R1, R3, R27, R31, R32, R34, R46, R48, R50, R57","10","Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","RESISTOR_0402","0402","","Vishay","CRCW0402330RFKED","",""
"R2, R4, R10, R11, R12, R13, R14, R15, R16, R17, R25, R26, R29, R30, R33, R35, R37, R42, R43, R44, R47, R49, R51, R69","24","Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","RESISTOR_0402","0402","","Vishay","CRCW040247K0FKED","",""
"R5, R6, R7","3","Thick Film Resistors - SMD 1/16 W 0 Ohms","RESISTOR_0402","0402","","Vishay","CRCW04020000Z0ED","",""
"R8, R9, R36, R38, R39, R40, R41, R45, R52, R53, R54, R55, R56, R58, R59, R60, R61, R62, R63","19","Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","RESISTOR_0402","0402","","Vishay","CRCW040210K0FKED","",""
"R18, R22, R23, R24","4","Thick Film Resistors - SMD 1/16 W 4.7 Kohms 1%","RESISTOR_0402","0402","","Vishay","CRCW04024K70FKED","",""
"R19","1","Thick Film Resistors - SMD 1/16 W 64R9 Ohms 1%","RESISTOR_0402","0402","","Vishay","CRCW040264R9FKED","",""
"R20, R21","2","Thick Film Resistors - SMD 1/16 W 22R Ohms 1%","RESISTOR_0402","0402","","Vishay","CRCW040222R0FKED","",""
"R28","1","Thick Film Resistors - SMD 1/16 W 249 Kohms 1%","RESISTOR_0402","0402","","Vishay","CRCW0402249KFKED","",""
"R64, R67","2","Thick Film Resistors - SMD 1/16 W 100 Kohms 1%","RESISTOR_0402","0402","","Vishay","CRCW0402100KFKED","",""
"R65","1","Thick Film Resistors - SMD 1/16 W 604 Kohms 1%","RESISTOR_0402","0402","","Vishay","CRCW0402604KFKED","",""
"R66, R70","2","Thick Film Resistors - SMD 1/16 W 91 Kohms 1%","RESISTOR_0402","0402","","Vishay","CRCW040291K0FKED","",""
"R68","1","Thick Film Resistors - SMD 1/16 W 806 Kohms 1%","RESISTOR_0402","0402","","Vishay","CRCW0402806KFKED","",""
"U6, U7, U8","3","Translation - Voltage Levels Low Power Dual Channel","VQFN16","VQFN-16","","Texas Instruments","SN74AVCH4T245RGYR","",""
"U13","1","Translation - Voltage Levels 8B Bidir Vltg-Level Translator","TSSOP-20","TSSOP-20","","Texas Instruments","TXS0108EPWR","",""
"U19","1","EEPROM","SOIC-8","SOIC-8","","Microchip Technology","24LC128T-I/SN","",""
"X1, X2","2","Crystals 7.3728MHz 18pF -40C +85C","ABRACON_CRYSTAL","","","ABRACON","ABMM2-7.3728MHZ-E2-T","",""
