Designator,Quantity,Manufacturer_Name,Manufacturer_Part_Number,Comment,Description

"C1, C7, C14","3","","","Tantalum Capacitor","Capacitor - 10uF [0603] (Tantalium), Capacitor - 47uF [0603] (Tantalium)"
"C2, C3, C4, C5, C6, C8, C9, C10, C11, C12, C13, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159, C160, C161, C162, C163, C164, C165, C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C200, C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C217, C218, C219, C220, C221, C222, C223, C226, C227, C228, C229, C232, C233, C234","227","","","Multilayer Ceramic Capacitor","Capacitor - 1uF [0402] (Ceramic), Capacitor - 33pF [0402] (Ceramic), Capacitor - 100nF [0402-6V3] (Ceramic), Capacitor - 1nF [0402] (Ceramic), Capacitor - 13pF [0402] (Ceramic)"
"C224, C225, C230, C231","4","","","Aluminium Organic Polymer Capacitors","Capacitor - 39uF 16V [Can] (Electrolytic)"
"D1, D2, D3","3","","","150066M153000","Standard LEDs - SMD PICOLED series Red LED"
"D4","1","ROHM Semiconductor","SMLP13BC8TT86","SMD LED (Blue)","Standard LEDs - SMD PICOLEDTM;BLUE LED; 25M @ 5MA"
"FB1, FB2","2","","","Ferrite Bead","Ferrite Beads 0603 100ohms 2000mA Auto Infotainment"
"J1","1","","","Memory Card Connectors","Memory Card Connectors TFR READER (HINGE TYPE)"
"J2, J3","2","","","1.27 mm Pitch 2x30P Male Connector","Headers & Wire Housings BREAKAWAY HDR VERT 6"
"L1, L2","2","","","Fixed Inductor","Fixed Inductor"
"L3, L4","2","","","Fixed Inductor","Fixed Inductors 0.47uH 20% 11.2A 8.36mOhms AEC-Q200"
"PZ1","1","","","Piezo Buzzers & Audio Indicators","Piezo Buzzers & Audio Indicators Piezo Buzzer 9x9mm 4KHz 1.9mm Thickness"
"Q1, Q2, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13","12","Nexperia","BC847AQAZ","Bipolar NPN Transistors","Bipolar Transistors - BJT BC847AQA/DFN1010D-3/REEL 7"" Q2"
