refdes;pin;voltage;current
J2;60;4.99955;0.223612
J2;1;4.99955;0.223612
J2;30;0.0;-0.111806
J2;58;0.0;-0.111806
J2;4;0.0;-0.111806
J2;31;0.0;-0.111806
J3;60;5.00024;0.00597292
J3;1;5.00024;0.00597292
J3;30;0.000247092;-0.00298646
J3;58;0.000247092;-0.00298646
J3;4;0.000247092;-0.00298646
J3;31;0.000247092;-0.00298646
U3;5;3.29955;0.570289
U3;2;0.000117524;0.01495499999999994
U21;6;3.7997;0.835247
U21;8;-0.00037459;-0.18870699999999999
U21;3;-0.00037459;-0.18870699999999999
U22;6;4.99899;0.00118523
U22;8;0.000116946;7.527100000000002e-05
U22;3;0.000116946;7.527100000000002e-05
U4;M01;3.67916;-0.0625225
U4;M02;3.67902;-0.0624775
U4;R02;0.00027662;0.00657453
U4;R04;0.000282598;0.00657153
U4;R03;0.000280508;0.00657258
U4;P03;0.000281841;0.00657191
U4;P04;0.000283437;0.0065711
U4;N03;0.000281119;0.00657227
U4;R05;0.000282114;0.006571769999999999
U4;R06;0.000279664;0.006573000000000001
U4;P05;0.000282727;0.00657147
U4;R08;0.000273213;0.0065762400000000006
U4;N05;0.000280673;0.00657249
U4;P06;0.000279564;0.00657305
U4;N04;0.000282045;0.0065718
U4;N06;0.000277044;0.00657432
U4;L01;0.000268479;0.00657861
U4;L02;0.000271918;0.00657688
U4;J01;0.000261218;0.0065822499999999996
U4;K02;0.000269914;0.006577889999999999
U4;H01;0.000258178;0.00658378
U4;J02;0.000265742;0.00657998
U4;G02;0.000258049;0.0065838500000000005
U4;M03;0.000277755;0.00657395
U4;M04;0.000278586;0.006573539999999999
U4;H02;0.000260786;0.00658246
U4;R10;0.000271514;0.00657709
U4;P09;0.000271239;0.00657723
U4;P10;0.000270802;0.00657745
U4;P08;0.000272965;0.00657636
U4;P13;0.00026378;0.00658097
U4;M12;0.00026142;0.00658216
U4;G01;0.000258099;0.006583820000000001
U4;E01;0.000248441;0.00658867
U4;F02;0.000254365;0.00658569
U4;E02;0.000250994;0.00658739
U4;A02;0.000231115;0.00659736
U4;A04;0.000233954;0.00659593
U4;E14;0.000241324;0.00659224
U4;B13;0.000253061;0.0065863499999999995
U4;P01;3.68066;-0.0312855
U4;P02;3.68031;-0.0312236
U4;N02;3.68037;-0.0312353
U4;N01;3.68049;-0.0312555
U20;3;4.99892;-0.00018
U20;6;0.000149103;0.00018
R62;2;4.99889;-0.000999896
U16;8;0.000233938;0.0076455287
U17;6;3.29495;-0.0001
U17;5;0.000243125;0.0002
U6;1;3.19812;-0.0001
U6;8;0.000209815;5.601219999999999e-05
U6;9;0.000208468;5.60131e-05
U6;17;0.000215344;5.6008300000000004e-05
U7;1;3.19813;-0.0001
U7;8;0.000234555;5.6011500000000004e-05
U7;9;0.000233796;5.6012e-05
U7;17;0.000237574;5.60094e-05
U8;1;3.19812;-0.0001
U8;8;0.000249224;5.60107e-05
U8;9;0.000248507;5.6011200000000003e-05
U8;17;0.000249326;5.60106e-05
R13;2;3.19813;-6.80303e-05
U15;11;0.000161551;0.010293918400000001
U15;32;0.00017479;0.0102926111
U15;62;0.000206309;0.010289393499999999
U15;81;0.000187241;0.0102913141
U15;99;0.000161631;0.0102939183
R12;2;3.19813;-6.80431e-05
R14;2;3.19813;-6.80427e-05
R16;2;3.19812;-6.80423e-05
