x;y;layer1;layer2;voltage1;voltage2;current
-71.7804;71.7804;TOP_LAYER;MID_LAYER_1;9.35697e-05;9.35042e-05;0.000829525
-71.7804;71.7804;MID_LAYER_1;MID_LAYER_2;9.35042e-05;9.29126e-05;0.00124602
-71.7804;71.7804;MID_LAYER_2;MID_LAYER_3;9.29126e-05;9.27739e-05;0.00138319
-71.7804;71.7804;MID_LAYER_3;MID_LAYER_4;9.27739e-05;9.20634e-05;0.00149662
-71.7804;71.7804;MID_LAYER_4;BOTTOM_LAYER;9.20634e-05;9.19523e-05;0.0014064
-71.7804;111.151;TOP_LAYER;MID_LAYER_1;9.36627e-05;9.35968e-05;0.000833973
-71.7804;111.151;MID_LAYER_1;MID_LAYER_2;9.35968e-05;9.30031e-05;0.00125071
-71.7804;111.151;MID_LAYER_2;MID_LAYER_3;9.30031e-05;9.28624e-05;0.00140177
-71.7804;111.151;MID_LAYER_3;MID_LAYER_4;9.28624e-05;9.21452e-05;0.00151096
-71.7804;111.151;MID_LAYER_4;BOTTOM_LAYER;9.21452e-05;9.204e-05;0.0013308
-71.7804;150.521;TOP_LAYER;MID_LAYER_1;9.38054e-05;9.37389e-05;0.000841629
-71.7804;150.521;MID_LAYER_1;MID_LAYER_2;9.37389e-05;9.31395e-05;0.00126267
-71.7804;150.521;MID_LAYER_2;MID_LAYER_3;9.31395e-05;9.2996e-05;0.00143057
-71.7804;150.521;MID_LAYER_3;MID_LAYER_4;9.2996e-05;9.22641e-05;0.00154159
-71.7804;150.521;MID_LAYER_4;BOTTOM_LAYER;9.22641e-05;9.21616e-05;0.00129832
-71.7804;189.891;TOP_LAYER;MID_LAYER_1;9.39816e-05;9.39157e-05;0.000834296
-71.7804;189.891;MID_LAYER_1;MID_LAYER_2;9.39157e-05;9.33229e-05;0.00124869
-71.7804;189.891;MID_LAYER_2;MID_LAYER_3;9.33229e-05;9.31794e-05;0.00142988
-71.7804;189.891;MID_LAYER_3;MID_LAYER_4;9.31794e-05;9.24513e-05;0.00153383
-71.7804;189.891;MID_LAYER_4;BOTTOM_LAYER;9.24513e-05;9.23607e-05;0.00114605
-71.7804;229.261;TOP_LAYER;MID_LAYER_1;9.42249e-05;9.41617e-05;0.000799069
-71.7804;229.261;MID_LAYER_1;MID_LAYER_2;9.41617e-05;9.35776e-05;0.00123042
-71.7804;229.261;MID_LAYER_2;MID_LAYER_3;9.35776e-05;9.34332e-05;0.00143958
-71.7804;229.261;MID_LAYER_3;MID_LAYER_4;9.34332e-05;9.26956e-05;0.00155365
-71.7804;229.261;MID_LAYER_4;BOTTOM_LAYER;9.26956e-05;9.25931e-05;0.00129819
-71.7804;268.631;TOP_LAYER;MID_LAYER_1;9.45042e-05;9.44418e-05;0.000790165
