refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,4.99608,1.96035,0
VCOMP0,VCOMP0-1,4.99608,1.96035,0
VCOMP0,VCOMP0-2,0,-0.980174,0
VCOMP0,VCOMP0-3,0,-0.980174,0
VCOMP0,VCOMP0-4,0,-0.980174,0
VCOMP0,VCOMP0-5,0,-0.980174,0
VCOMP1,VCOMP1-0,5.00105,0.0498376,0
VCOMP1,VCOMP1-1,5.00105,0.0498376,0
VCOMP1,VCOMP1-2,0.00114728,-0.0249188,0
VCOMP1,VCOMP1-3,0.00114728,-0.0249188,0
VCOMP1,VCOMP1-4,0.00114728,-0.0249188,0
VCOMP1,VCOMP1-5,0.00114728,-0.0249188,0
VCOMP54,VCOMP54-0,3.30041,0.570263,0
VCOMP54,VCOMP54-1,0.000984424,-0.570263,0
VCOMP56,VCOMP56-0,3.80631,0.838579,0
VCOMP56,VCOMP56-1,0.00533345,-0.41929,0
VCOMP56,VCOMP56-2,0.00533345,-0.41929,0
VCOMP59,VCOMP59-0,5.00037,0.00118532,0
VCOMP59,VCOMP59-1,0.00093399,-0.000592662,0
VCOMP59,VCOMP59-2,0.00093399,-0.000592662,0
VCOMP2,VCOMP2-0,3.68575,-0.0625243,3.04
VCOMP2,VCOMP2-1,3.6856,-0.0624757,3.04
VCOMP2,VCOMP2-2,0.00120282,0.00328808,3.04
VCOMP2,VCOMP2-3,0.00120904,0.00328604,3.04
VCOMP2,VCOMP2-4,0.00120689,0.00328674,3.04
VCOMP2,VCOMP2-5,0.00120897,0.00328606,3.04
VCOMP2,VCOMP2-6,0.0012106,0.00328552,3.04
VCOMP2,VCOMP2-7,0.00120922,0.00328598,3.04
VCOMP2,VCOMP2-8,0.00120848,0.00328622,3.04
VCOMP2,VCOMP2-9,0.00120578,0.00328711,3.04
VCOMP2,VCOMP2-10,0.00120975,0.0032858,3.04
VCOMP2,VCOMP2-11,0.00119816,0.00328962,3.04
VCOMP2,VCOMP2-12,0.00120839,0.00328625,3.04
VCOMP2,VCOMP2-13,0.00120632,0.00328693,3.04
VCOMP2,VCOMP2-14,0.00121003,0.00328571,3.04
VCOMP2,VCOMP2-15,0.00120453,0.00328752,3.04
VCOMP2,VCOMP2-16,0.00119847,0.00328951,3.04
VCOMP2,VCOMP2-17,0.00120268,0.00328813,3.04
VCOMP2,VCOMP2-18,0.00119821,0.0032896,3.04
VCOMP2,VCOMP2-19,0.00120285,0.00328807,3.04
VCOMP2,VCOMP2-20,0.00119613,0.00329028,3.04
VCOMP2,VCOMP2-21,0.00120088,0.00328872,3.04
VCOMP2,VCOMP2-22,0.00119657,0.00329014,3.04
VCOMP2,VCOMP2-23,0.00120695,0.00328673,3.04
VCOMP2,VCOMP2-24,0.00120751,0.00328654,3.04
VCOMP2,VCOMP2-25,0.00119778,0.00328974,3.04
VCOMP2,VCOMP2-26,0.00119543,0.00329051,3.04
VCOMP2,VCOMP2-27,0.00119621,0.00329026,3.04
VCOMP2,VCOMP2-28,0.00119506,0.00329064,3.04
VCOMP2,VCOMP2-29,0.00119855,0.00328949,3.04
VCOMP2,VCOMP2-30,0.00118494,0.00329396,3.04
VCOMP2,VCOMP2-31,0.00118495,0.00329396,3.04
VCOMP2,VCOMP2-32,0.00119705,0.00328998,3.04
VCOMP2,VCOMP2-33,0.00119314,0.00329127,3.04
VCOMP2,VCOMP2-34,0.00119504,0.00329064,3.04
VCOMP2,VCOMP2-35,0.00119418,0.00329092,3.04
VCOMP2,VCOMP2-36,0.00118966,0.00329241,3.04
VCOMP2,VCOMP2-37,0.00118716,0.00329323,3.04
VCOMP2,VCOMP2-38,0.00115308,0.00330444,3.04
VCOMP2,VCOMP2-39,0.00117505,0.00329722,3.04
VCOMP3,VCOMP3-0,3.68724,-0.0312847,5.79048
VCOMP3,VCOMP3-1,3.68689,-0.031224,5.79048
VCOMP3,VCOMP3-2,3.68696,-0.0312358,5.79048
VCOMP3,VCOMP3-3,3.68707,-0.0312555,5.79048
VCOMP3,VCOMP3-4,0.00120282,0.00328874,5.79048
VCOMP3,VCOMP3-5,0.00120904,0.00328767,5.79048
VCOMP3,VCOMP3-6,0.00120689,0.00328804,5.79048
VCOMP3,VCOMP3-7,0.00120897,0.00328768,5.79048
VCOMP3,VCOMP3-8,0.0012106,0.0032874,5.79048
VCOMP3,VCOMP3-9,0.00120922,0.00328764,5.79048
VCOMP3,VCOMP3-10,0.00120848,0.00328776,5.79048
VCOMP3,VCOMP3-11,0.00120578,0.00328823,5.79048
VCOMP3,VCOMP3-12,0.00120975,0.00328755,5.79048
VCOMP3,VCOMP3-13,0.00119816,0.00328955,5.79048
VCOMP3,VCOMP3-14,0.00120839,0.00328778,5.79048
VCOMP3,VCOMP3-15,0.00120632,0.00328814,5.79048
VCOMP3,VCOMP3-16,0.00121003,0.0032875,5.79048
VCOMP3,VCOMP3-17,0.00120453,0.00328845,5.79048
VCOMP3,VCOMP3-18,0.00119847,0.00328949,5.79048
VCOMP3,VCOMP3-19,0.00120268,0.00328877,5.79048
VCOMP3,VCOMP3-20,0.00119821,0.00328954,5.79048
VCOMP3,VCOMP3-21,0.00120285,0.00328874,5.79048
VCOMP3,VCOMP3-22,0.00119613,0.0032899,5.79048
VCOMP3,VCOMP3-23,0.00120088,0.00328908,5.79048
VCOMP3,VCOMP3-24,0.00119657,0.00328982,5.79048
VCOMP3,VCOMP3-25,0.00120695,0.00328803,5.79048
VCOMP3,VCOMP3-26,0.00120751,0.00328793,5.79048
VCOMP3,VCOMP3-27,0.00119778,0.00328961,5.79048
VCOMP3,VCOMP3-28,0.00119543,0.00329002,5.79048
VCOMP3,VCOMP3-29,0.00119621,0.00328988,5.79048
VCOMP3,VCOMP3-30,0.00119506,0.00329008,5.79048
VCOMP3,VCOMP3-31,0.00119855,0.00328948,5.79048
VCOMP3,VCOMP3-32,0.00118494,0.00329183,5.79048
VCOMP3,VCOMP3-33,0.00118495,0.00329183,5.79048
VCOMP3,VCOMP3-34,0.00119705,0.00328974,5.79048
VCOMP3,VCOMP3-35,0.00119314,0.00329041,5.79048
VCOMP3,VCOMP3-36,0.00119504,0.00329008,5.79048
VCOMP3,VCOMP3-37,0.00119418,0.00329023,5.79048
VCOMP3,VCOMP3-38,0.00118966,0.00329101,5.79048
VCOMP3,VCOMP3-39,0.00118716,0.00329145,5.79048
VCOMP3,VCOMP3-40,0.00115308,0.00329733,5.79048
VCOMP3,VCOMP3-41,0.00117505,0.00329354,5.79048
VCOMP4,VCOMP4-0,5.0003,-0.00018,555.556
VCOMP4,VCOMP4-1,0.00111524,0.00018,555.556
VCOMP5,VCOMP5-0,5.00027,-0.000499992,5000
VCOMP5,VCOMP5-1,0.00117763,0.000499826,5000
VCOMP6,VCOMP6-0,5.00027,-0.000499992,5000
VCOMP6,VCOMP6-1,0.00117763,0.000499826,5000
VCOMP7,VCOMP7-0,3.29588,-0.0001,1000
VCOMP7,VCOMP7-1,0.00117164,0.0001,1000
VCOMP8,VCOMP8-0,3.19906,-0.0001,1500
VCOMP8,VCOMP8-1,0.00109194,3.33345e-05,1500
VCOMP8,VCOMP8-2,0.00108713,3.33377e-05,1500
VCOMP8,VCOMP8-3,0.00110195,3.33278e-05,1500
VCOMP9,VCOMP9-0,3.19907,-0.0001,1500
VCOMP9,VCOMP9-1,0.00113818,3.33339e-05,1500
VCOMP9,VCOMP9-2,0.00113544,3.33357e-05,1500
VCOMP9,VCOMP9-3,0.0011435,3.33304e-05,1500
VCOMP10,VCOMP10-0,3.19906,-0.0001,1500
VCOMP10,VCOMP10-1,0.00116263,3.33329e-05,1500
VCOMP10,VCOMP10-2,0.00116102,3.3334e-05,1500
VCOMP10,VCOMP10-3,0.00116227,3.33331e-05,1500
VCOMP11,VCOMP11-0,3.19907,-6.80537e-05,39166.7
VCOMP11,VCOMP11-1,0.000970861,1.35999e-05,39166.7
VCOMP11,VCOMP11-2,0.00105484,1.35977e-05,39166.7
VCOMP11,VCOMP11-3,0.00107591,1.35972e-05,39166.7
VCOMP11,VCOMP11-4,0.00101811,1.35987e-05,39166.7
VCOMP11,VCOMP11-5,0.000942877,1.36006e-05,39166.7
