refdes,pin,voltage,current
J2,60,4.9964,1.80118
J2,1,4.9964,1.80118
J2,30,0.0,-0.900591
J2,58,0.0,-0.900591
J2,4,0.0,-0.900591
J2,31,0.0,-0.900591
J3,60,5.00097,0.0458603
J3,1,5.00097,0.0458603
J3,30,0.00106476,-0.0229302
J3,58,0.00106476,-0.0229302
J3,4,0.00106476,-0.0229302
J3,31,0.00106476,-0.0229302
U3,5,3.30033,0.570257
U3,2,0.000904118,0.017425000000000024
U21,6,3.80534,0.837687
U21,8,0.00481123,1.427527
U21,3,0.00481123,1.427527
U22,6,5.00086,0.00118544
U22,8,0.000859115,7.544399999999992e-05
U22,3,0.000859115,7.544399999999992e-05
U4,M01,3.68478,-0.0625231
U4,M02,3.68464,-0.0624769
U4,R02,0.00111794,0.00657662
U4,R04,0.00112413,0.006573509999999999
U4,R03,0.00112199,0.00657458
U4,P03,0.001124,0.006573570000000001
U4,P04,0.00112563,0.00657276
U4,N03,0.00112417,0.0065734899999999995
U4,R05,0.00112358,0.00657379
U4,R06,0.0011209,0.00657513
U4,P05,0.00112479,0.00657318
U4,R08,0.00111339,0.0065789
U4,N05,0.00112337,0.006573890000000001
U4,P06,0.00112138,0.00657488
U4,N04,0.00112498,0.00657308
U4,N06,0.00111953,0.00657581
U4,L01,0.00111324,0.00657897
U4,L02,0.00111738,0.0065769
U4,J01,0.00111234,0.00657943
U4,K02,0.00111735,0.00657691
U4,H01,0.00111018,0.0065805099999999995
U4,J02,0.00111518,0.006578
U4,G02,0.00111056,0.00658031
U4,M03,0.00112179,0.00657468
U4,M04,0.00112238,0.0065743799999999995
U4,H02,0.00111191,0.0065796399999999994
U4,R10,0.00111076,0.0065802199999999995
U4,P09,0.00111144,0.00657987
U4,P10,0.00111035,0.00658042
U4,P08,0.00111372,0.00657873
U4,P13,0.00110052,0.00658535
U4,M12,0.00110031,0.00658545
U4,G01,0.001111,0.0065801
U4,E01,0.00110657,0.00658232
U4,F02,0.00110884,0.00658118
U4,E02,0.00110775,0.00658173
U4,A02,0.00110183,0.00658469
U4,A04,0.00109981,0.00658571
U4,E14,0.00106953,0.0066009
U4,B13,0.00109056,0.00659035
U4,P01,3.6863,-0.0312892
U4,P02,3.68591,-0.0312216
U4,N02,3.68598,-0.0312332
U4,N01,3.68611,-0.0312559
U20,3,5.00079,-0.00018
U20,6,0.00102671,0.00018
R62,2,5.00076,-0.0010001
U16,8,0.00109115,0.007645902499999999
U17,6,3.29574,-0.0001
U17,5,0.00108655,0.0002
U6,1,3.19892,-0.0001
U6,8,0.0010111,5.60123e-05
U6,9,0.00100661,5.60154e-05
U6,17,0.0010207,5.60056e-05
U7,1,3.19892,-0.0001
U7,8,0.00105537,5.6011400000000004e-05
U7,9,0.00105281,5.60132e-05
U7,17,0.00106048,5.60079e-05
U8,1,3.19891,-0.0001
U8,8,0.00107891,5.60102e-05
U8,9,0.00107739,5.6011200000000003e-05
U8,17,0.00107859,5.60104e-05
R13,2,3.19892,-6.8031e-05
U15,11,0.0008966950000000001,0.0102960835
U15,32,0.0009741999999999999,0.0102883304
U15,62,0.000996222,0.0102861183
U15,81,0.000941964,0.010291568400000001
U15,99,0.000871279,0.0102986979
R12,2,3.19892,-6.80429e-05
R14,2,3.19892,-6.80421e-05
R16,2,3.19891,-6.80415e-05
R15,2,3.19891,-6.80519e-05
R17,2,3.12084,-6.63906e-05
Q3,2,3.12055,-0.33155919999999994
Q4,2,0.00118514,0.0479902
Q5,2,0.00128236,0.141785
Q6,2,0.0012945,0.141784
R45,2,3.19026,-0.000318956
U15,10,3.19692,-0.0105415
U15,31,3.19026,-0.00987552
U15,61,3.17431,-0.00828022
U15,80,3.19879,-0.0107289
U15,100,3.19724,-0.0105739
D3,4,3.18641,-0.028956990000000002
Q10,2,0.00113981,0.00965234
Q11,2,0.00113426,0.00965236
Q12,2,0.00113677,0.00965235
U9,1,3.16867,-0.0001
U9,2,0.00105221,0.0001
U11,4,3.14657,-0.0167739
U11,6,3.1465,-0.0167623
U11,18,3.14471,-0.0164638
U11,3,0.00111258,0.016771461
U11,5,0.00116124,0.016763355
U11,21,0.00106273,0.016779768
R36,2,3.1456,-0.000314403
D2,4,3.1466499999999997,-0.028595850000000003
Q7,2,0.00110721,0.00953196
Q8,2,0.00110619,0.00953197
Q9,2,0.00110597,0.00953197
J1,4,3.18809,-0.03
J1,6,0.00112577,0.03
R38,2,3.18806,-0.000318664
U12,8,0.00105899,0.0006875398
U12,15,0.00104743,0.0006875565
R39,2,3.18806,-0.000318663
R40,2,3.18806,-0.000318664
R41,2,3.18806,-0.000318664
U12,16,3.17454,-0.0001
U13,2,3.19893,-0.0001
U13,11,0.0010581,0.0002
U13,19,3.1456,-0.0001
U14,12,3.19889,-0.015
U14,5,0.00100782,0.00750063
U14,13,0.0010191,0.00749936
R52,2,3.13144,-0.000313073
R53,2,3.13144,-0.000313073
U16,16,3.13144,-0.00968826
U16,3,3.13975,-0.0103118
U16,13,0.00110026,0.0050781564
U16,2,0.00109665,0.0050784268
U16,1,0.00109841,0.0050782966
U17,7,3.13936,-0.0001
R57,2,3.13896,-0.00950866
D4,1,0.00109851,0.00950868
R56,2,3.13905,-0.000313834
R54,2,3.13904,-0.000313847
R55,2,3.13904,-0.000313826
R58,2,3.13957,-0.0003139
R59,2,3.13955,-0.000313898
U18,5,3.13276,-0.0002
U18,2,0.00108253,0.0002
R60,2,3.13143,-0.000313086
R61,2,3.13143,-0.000313086
U19,8,3.13143,-0.0004
U19,4,0.00109564,0.0004
U3,1,3.76734,-0.587682
U21,10,4.82315,-3.69275
R65,2,3.80384,-4.06102e-06
R66,1,0.0013071,3.54404e-06
U22,10,4.93442,-0.00133633
R68,2,5.00086,-5.33967e-06
R70,1,0.000968537,4.6601e-06
U1,1,3.72079,-0.25
U1,6,3.69579,0.25
FB1,1,3.69451,-0.125
FB1,2,3.68888,0.125
FB2,1,3.69462,-0.125
FB2,2,3.689,0.125
U2,1,3.28948,-0.570157
U2,6,3.20966,0.570157
U10,1,3.1628,-0.0790102
U10,6,3.15174,0.0790102
