x,y,layer1,layer2,voltage1,voltage2,current
-71.7804,71.7804,TOP_LAYER,MID_LAYER_1,0.000742851,0.000742509,0.00433772
-71.7804,71.7804,MID_LAYER_1,MID_LAYER_2,0.000742509,0.000739148,0.00707876
-71.7804,71.7804,MID_LAYER_2,MID_LAYER_3,0.000739148,0.000738263,0.00882975
-71.7804,71.7804,MID_LAYER_3,MID_LAYER_4,0.000738263,0.000733229,0.0106028
-71.7804,71.7804,MID_LAYER_4,BOTTOM_LAYER,0.000733229,0.000732376,0.010801
-71.7804,111.151,TOP_LAYER,MID_LAYER_1,0.000747155,0.000746805,0.00443092
-71.7804,111.151,MID_LAYER_1,MID_LAYER_2,0.000746805,0.000743411,0.00714917
-71.7804,111.151,MID_LAYER_2,MID_LAYER_3,0.000743411,0.000742498,0.00910786
-71.7804,111.151,MID_LAYER_3,MID_LAYER_4,0.000742498,0.00073738,0.01078
-71.7804,111.151,MID_LAYER_4,BOTTOM_LAYER,0.00073738,0.000736581,0.0101199
-71.7804,150.521,TOP_LAYER,MID_LAYER_1,0.000752402,0.000752047,0.00449282
-71.7804,150.521,MID_LAYER_1,MID_LAYER_2,0.000752047,0.000748612,0.00723595
-71.7804,150.521,MID_LAYER_2,MID_LAYER_3,0.000748612,0.000747666,0.00942963
-71.7804,150.521,MID_LAYER_3,MID_LAYER_4,0.000747666,0.000742384,0.0111251
-71.7804,150.521,MID_LAYER_4,BOTTOM_LAYER,0.000742384,0.000741606,0.00985985
-71.7804,189.891,TOP_LAYER,MID_LAYER_1,0.000758468,0.000758106,0.004586
-71.7804,189.891,MID_LAYER_1,MID_LAYER_2,0.000758106,0.000754677,0.0072219
-71.7804,189.891,MID_LAYER_2,MID_LAYER_3,0.000754677,0.00075372,0.00953594
-71.7804,189.891,MID_LAYER_3,MID_LAYER_4,0.00075372,0.000748399,0.01121
-71.7804,189.891,MID_LAYER_4,BOTTOM_LAYER,0.000748399,0.00074772,0.00859242
-71.7804,229.261,TOP_LAYER,MID_LAYER_1,0.000765505,0.000765198,0.00388332
-71.7804,229.261,MID_LAYER_1,MID_LAYER_2,0.000765198,0.000761873,0.00700479
-71.7804,229.261,MID_LAYER_2,MID_LAYER_3,0.000761873,0.000760874,0.00995779
-71.7804,229.261,MID_LAYER_3,MID_LAYER_4,0.000760874,0.000755319,0.0117019
-71.7804,229.261,MID_LAYER_4,BOTTOM_LAYER,0.000755319,0.000754515,0.0101816
-71.7804,268.631,TOP_LAYER,MID_LAYER_1,0.000773529,0.000773171,0.00452861
-71.7804,268.631,MID_LAYER_1,MID_LAYER_2,0.000773171,0.00076977,0.00716425
-71.7804,268.631,MID_LAYER_2,MID_LAYER_3,0.00076977,0.000768766,0.0100128
-71.7804,268.631,MID_LAYER_3,MID_LAYER_4,0.000768766,0.000763259,0.0115997
-71.7804,268.631,MID_LAYER_4,BOTTOM_LAYER,0.000763259,0.000762458,0.010141
