refdes;pin;voltage;current
J2;60;4.99807;0.966698
J2;1;4.99807;0.966698
J2;30;0.0;-0.483349
J2;58;0.0;-0.483349
J2;4;0.0;-0.483349
J2;31;0.0;-0.483349
J3;60;5.00054;0.0359161
J3;1;5.00054;0.0359161
J3;30;0.000612128;-0.017958
J3;58;0.000612128;-0.017958
J3;4;0.000612128;-0.017958
J3;31;0.000612128;-0.017958
U3;5;3.29944;0.570211
U3;2;7.73596e-06;-0.31479300000000005
U21;6;3.80052;0.505422
U21;8;0.00102295;0.194347
U21;3;0.00102295;0.194347
U22;6;5.00178;0.00118572
U22;8;0.00178413;0.55496314
U22;3;0.00178413;0.55496314
U4;M01;3.68314;-0.0625241
U4;M02;3.683;-0.0624759
U4;R02;0.000656533;0.00657572
U4;R04;0.000663066;0.006572440000000001
U4;R03;0.000660725;0.0065736200000000005
U4;P03;0.000662413;0.00657278
U4;P04;0.000664214;0.0065718700000000005
U4;N03;0.000662106;0.006572929999999999
U4;R05;0.000662723;0.0065726099999999996
U4;R06;0.000660354;0.0065738
U4;P05;0.000663666;0.006572140000000001
U4;R08;0.000653937;0.00657702
U4;N05;0.000661924;0.006573020000000001
U4;P06;0.000660632;0.00657366
U4;N04;0.000663164;0.0065724
U4;N06;0.000658453;0.00657476
U4;L01;0.000648897;0.00657955
U4;L02;0.000653197;0.006577400000000001
U4;J01;0.000643864;0.006582080000000001
U4;K02;0.000651897;0.00657805
U4;H01;0.000640989;0.00658352
U4;J02;0.000648274;0.00657987
U4;G02;0.000641312;0.00658336
U4;M03;0.000659068;0.006574450000000001
U4;M04;0.000660033;0.00657397
U4;H02;0.0006437;0.00658216
U4;R10;0.000652267;0.00657786
U4;P09;0.000652367;0.00657781
U4;P10;0.000651961;0.00657801
U4;P08;0.000654077;0.00657696
U4;P13;0.000644791;0.00658161
U4;M12;0.000643527;0.0065822499999999996
U4;G01;0.000641144;0.006583439999999999
U4;E01;0.000632445;0.0065877999999999996
U4;F02;0.00063808;0.00658498
U4;E02;0.000635116;0.00658647
U4;A02;0.000617242;0.00659543
U4;A04;0.000622769;0.00659266
U4;E14;0.000628997;0.00658954
U4;B13;0.000644183;0.00658191
U4;P01;3.68469;-0.0312892
U4;P02;3.6843;-0.0312216
U4;N02;3.68437;-0.0312332
U4;N01;3.6845;-0.0312559
U20;3;5.00171;-0.00018
U20;6;0.000593097;0.00018
R62;2;5.00168;-0.001000378
U16;8;0.000621324;0.007645631099999999
U17;6;3.29484;-0.0001
U17;5;0.000628504;0.0002
U6;1;3.19807;-0.0001
U6;8;0.000604637;5.6008600000000004e-05
U6;9;0.000603426;5.60094e-05
U6;17;0.000608345;5.6006e-05
U7;1;3.19808;-0.0001
U7;8;0.000621285;5.60081e-05
U7;9;0.000620482;5.6008700000000005e-05
U7;17;0.000623047;5.60069e-05
U8;1;3.19807;-0.0001
U8;8;0.000629175;5.60074e-05
U8;9;0.00062832;5.60081e-05
U8;17;0.000628555;5.60079e-05
R13;2;3.19808;-6.80208e-05
U15;11;0.000536243;0.010295378199999998
U15;32;0.0005692229999999999;0.0102920697
U15;62;0.000601137;0.010288862
U15;81;0.0005850209999999999;0.010290480999999999
U15;99;0.0005499240000000001;0.0102939705
R12;2;3.19807;-6.80336e-05
R14;2;3.19808;-6.80334e-05
R16;2;3.19807;-6.8033e-05
R15;2;3.19807;-6.80205e-05
R17;2;3.11999;-6.63597e-05
Q3;2;3.11965;-0.3315213
Q4;2;0.000668217;0.0479844
Q5;2;0.000749768;0.141768
Q6;2;0.000734338;0.141769
R45;2;3.18942;-0.000318909
U15;10;3.19607;-0.0105414
U15;31;3.18942;-0.00987558
U15;61;3.17346;-0.00828042
U15;80;3.19795;-0.0107288
U15;100;3.1964;-0.0105738
D3;4;3.18556;-0.02895412
Q10;2;0.000607098;0.00965139
Q11;2;0.000615225;0.00965136
Q12;2;0.000596344;0.00965142
U9;1;3.16782;-0.0001
U9;2;0.000600629;0.0001
U11;4;3.14572;-0.016774
U11;6;3.14565;-0.0167623
U11;18;3.14386;-0.0164637
U11;3;0.000669045;0.016772248
U11;5;0.000716634;0.016764342
U11;21;0.000634496;0.016777952999999998
R36;2;3.14475;-0.000314363
D2;4;3.14582;-0.028592560000000003
Q7;2;0.000633731;0.00953087
Q8;2;0.000627819;0.00953089
Q9;2;0.000636109;0.00953086
J1;4;3.18724;-0.03
J1;6;0.000646399;0.03
R38;2;3.1872;-0.000318622
U12;8;0.000625296;0.0006874504
U12;15;0.00060198;0.0006874809000000001
R39;2;3.1872;-0.000318622
R40;2;3.1872;-0.000318622
R41;2;3.1872;-0.000318622
U12;16;3.1737;-0.0001
U13;2;3.19808;-0.0001
U13;11;0.000624911;0.0002
U13;19;3.14475;-0.0001
U14;12;3.19805;-0.015
U14;5;0.000618274;0.00750063
U14;13;0.000629511;0.00749937
R52;2;3.13061;-0.000313027
R53;2;3.13061;-0.000313027
U16;16;3.13061;-0.00968824
U16;3;3.13892;-0.0103118
U16;13;0.000625162;0.0050781776
U16;2;0.000620313;0.0050785382000000006
U16;1;0.000620928;0.0050784980999999995
U17;7;3.13853;-0.0001
R57;2;3.13813;-0.00950756
D4;1;0.000635312;0.00950758
R56;2;3.13822;-0.000313788
R54;2;3.13821;-0.000313811
R55;2;3.13821;-0.000313791
R58;2;3.13874;-0.000313864
R59;2;3.13872;-0.000313862
U18;5;3.13192;-0.0002
U18;2;0.000616058;0.0002
R60;2;3.1306;-0.00031305
R61;2;3.1306;-0.00031305
U19;8;3.1306;-0.0004
U19;4;0.00061675;0.0004
U3;1;3.78264;-0.255418
U21;10;4.93747;-0.894116
R65;2;3.79961;-4.05724e-06
R66;1;0.000519826;3.54094e-06
U22;10;4.93214;-1.11111
R68;2;5.00178;-5.34096e-06
R70;1;0.00065033;4.6613e-06
U1;1;3.71918;-0.25
U1;6;3.69418;0.25
FB1;1;3.6929;-0.125
FB1;2;3.68728;0.125
FB2;1;3.69301;-0.125
FB2;2;3.68739;0.125
U2;1;3.28859;-0.570111
U2;6;3.20877;0.570111
U10;1;3.16196;-0.0790069
U10;6;3.1509;0.0790069
