x;y;layer1;layer2;voltage1;voltage2;current
-71.7804;71.7804;TOP_LAYER;MID_LAYER_1;0.000441251;0.00044079;0.00584074
-71.7804;71.7804;MID_LAYER_1;MID_LAYER_2;0.00044079;0.00043695;0.00808849
-71.7804;71.7804;MID_LAYER_2;MID_LAYER_3;0.00043695;0.000436096;0.00850821
-71.7804;71.7804;MID_LAYER_3;MID_LAYER_4;0.000436096;0.000431938;0.00875944
-71.7804;71.7804;MID_LAYER_4;BOTTOM_LAYER;0.000431938;0.000431314;0.007893
-71.7804;111.151;TOP_LAYER;MID_LAYER_1;0.000441584;0.000441121;0.0058596
-71.7804;111.151;MID_LAYER_1;MID_LAYER_2;0.000441121;0.000437207;0.00824557
-71.7804;111.151;MID_LAYER_2;MID_LAYER_3;0.000437207;0.00043633;0.00874241
-71.7804;111.151;MID_LAYER_3;MID_LAYER_4;0.00043633;0.000432074;0.00896489
-71.7804;111.151;MID_LAYER_4;BOTTOM_LAYER;0.000432074;0.000431474;0.00759537
-71.7804;150.521;TOP_LAYER;MID_LAYER_1;0.000442104;0.000441631;0.00599366
-71.7804;150.521;MID_LAYER_1;MID_LAYER_2;0.000441631;0.000437583;0.00852709
-71.7804;150.521;MID_LAYER_2;MID_LAYER_3;0.000437583;0.00043667;0.00909568
-71.7804;150.521;MID_LAYER_3;MID_LAYER_4;0.00043667;0.000432254;0.00930219
-71.7804;150.521;MID_LAYER_4;BOTTOM_LAYER;0.000432254;0.000431657;0.00755371
-71.7804;189.891;TOP_LAYER;MID_LAYER_1;0.00044266;0.000442189;0.00596804
-71.7804;189.891;MID_LAYER_1;MID_LAYER_2;0.000442189;0.000438061;0.00869514
-71.7804;189.891;MID_LAYER_2;MID_LAYER_3;0.000438061;0.000437124;0.00933445
-71.7804;189.891;MID_LAYER_3;MID_LAYER_4;0.000437124;0.000432623;0.0094815
-71.7804;189.891;MID_LAYER_4;BOTTOM_LAYER;0.000432623;0.000432075;0.00694171
-71.7804;229.261;TOP_LAYER;MID_LAYER_1;0.000443457;0.000442964;0.00624044
-71.7804;229.261;MID_LAYER_1;MID_LAYER_2;0.000442964;0.000438692;0.00900041
-71.7804;229.261;MID_LAYER_2;MID_LAYER_3;0.000438692;0.000437719;0.0096903
-71.7804;229.261;MID_LAYER_3;MID_LAYER_4;0.000437719;0.000433059;0.00981666
-71.7804;229.261;MID_LAYER_4;BOTTOM_LAYER;0.000433059;0.000432438;0.00786358
-71.7804;268.631;TOP_LAYER;MID_LAYER_1;0.00044418;0.000443672;0.00643277
-71.7804;268.631;MID_LAYER_1;MID_LAYER_2;0.000443672;0.000439345;0.00911312
-71.7804;268.631;MID_LAYER_2;MID_LAYER_3;0.000439345;0.000438369;0.00973197
-71.7804;268.631;MID_LAYER_3;MID_LAYER_4;0.000438369;0.000433737;0.00975801
-71.7804;268.631;MID_LAYER_4;BOTTOM_LAYER;0.000433737;0.000433118;0.00783565
-71.7804;308.001;TOP_LAYER;MID_LAYER_1;0.000444658;0.000444163;0.00626025
-71.7804;308.001;MID_LAYER_1;MID_LAYER_2;0.000444163;0.000439917;0.00894493
-71.7804;308.001;MID_LAYER_2;MID_LAYER_3;0.000439917;0.000438976;0.00938471
-71.7804;308.001;MID_LAYER_3;MID_LAYER_4;0.000438976;0.000434568;0.00928473
-71.7804;308.001;MID_LAYER_4;BOTTOM_LAYER;0.000434568;0.000434034;0.00675984
-71.7804;347.371;TOP_LAYER;MID_LAYER_1;0.000445005;0.000444494;0.0064788
-71.7804;347.371;MID_LAYER_1;MID_LAYER_2;0.000444494;0.000440332;0.00876631
-71.7804;347.371;MID_LAYER_2;MID_LAYER_3;0.000440332;0.00043942;0.00908752
-71.7804;347.371;MID_LAYER_3;MID_LAYER_4;0.00043942;0.000435232;0.00882307
