refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,4.99807,0.966698,0
VCOMP0,VCOMP0-1,4.99807,0.966698,0
VCOMP0,VCOMP0-2,0,-0.483349,0
VCOMP0,VCOMP0-3,0,-0.483349,0
VCOMP0,VCOMP0-4,0,-0.483349,0
VCOMP0,VCOMP0-5,0,-0.483349,0
VCOMP1,VCOMP1-0,5.00054,0.0359161,0
VCOMP1,VCOMP1-1,5.00054,0.0359161,0
VCOMP1,VCOMP1-2,0.000612128,-0.017958,0
VCOMP1,VCOMP1-3,0.000612128,-0.017958,0
VCOMP1,VCOMP1-4,0.000612128,-0.017958,0
VCOMP1,VCOMP1-5,0.000612128,-0.017958,0
VCOMP54,VCOMP54-0,3.29944,0.570211,0
VCOMP54,VCOMP54-1,7.73596e-06,-0.570211,0
VCOMP56,VCOMP56-0,3.80052,0.505422,0
VCOMP56,VCOMP56-1,0.00102295,-0.252711,0
VCOMP56,VCOMP56-2,0.00102295,-0.252711,0
VCOMP59,VCOMP59-0,5.00178,0.00118572,0
VCOMP59,VCOMP59-1,0.00178413,-0.00059286,0
VCOMP59,VCOMP59-2,0.00178413,-0.00059286,0
VCOMP2,VCOMP2-0,3.68314,-0.0625241,3.04
VCOMP2,VCOMP2-1,3.683,-0.0624759,3.04
VCOMP2,VCOMP2-2,0.000656533,0.00328736,3.04
VCOMP2,VCOMP2-3,0.000663066,0.00328521,3.04
VCOMP2,VCOMP2-4,0.000660725,0.00328598,3.04
VCOMP2,VCOMP2-5,0.000662413,0.00328543,3.04
VCOMP2,VCOMP2-6,0.000664214,0.00328483,3.04
VCOMP2,VCOMP2-7,0.000662106,0.00328553,3.04
VCOMP2,VCOMP2-8,0.000662723,0.00328532,3.04
VCOMP2,VCOMP2-9,0.000660354,0.0032861,3.04
VCOMP2,VCOMP2-10,0.000663666,0.00328501,3.04
VCOMP2,VCOMP2-11,0.000653937,0.00328821,3.04
VCOMP2,VCOMP2-12,0.000661924,0.00328559,3.04
VCOMP2,VCOMP2-13,0.000660632,0.00328601,3.04
VCOMP2,VCOMP2-14,0.000663164,0.00328518,3.04
