refdes,pin,voltage,current
J2,60,4.99917,0.414415
J2,1,4.99917,0.414415
J2,30,0.0,-0.207207
J2,58,0.0,-0.207207
J2,4,0.0,-0.207207
J2,31,0.0,-0.207207
J3,60,5.00029,0.0126015
J3,1,5.00029,0.0126015
J3,30,0.00031318,-0.00630074
J3,58,0.00031318,-0.00630074
J3,4,0.00031318,-0.00630074
J3,31,0.00031318,-0.00630074
U21,6,3.80026,0.300004
U21,3,0.000558941,0.184643
U21,2,0.000558941,0.184643
U21,8,0.000558941,0.184643
U22,6,5.00013,0.0500053
U22,3,0.000180405,-0.0166350667
U22,2,0.000180405,-0.0166350667
U22,8,0.000180405,-0.0166350667
U4,M02,3.69913,-0.0749657
U4,M01,3.6993,-0.0750345
U4,B13,0.000330463,0.00790157
U4,E14,0.000311189,0.00791317
U4,A04,0.000309765,0.00791402
U4,A02,0.000307602,0.00791532
U4,E02,0.000326734,0.00790381
U4,F02,0.000329311,0.00790225
U4,E01,0.000323556,0.00790572
U4,G01,0.000333445,0.00789977
U4,M12,0.000332735,0.00790019
U4,P13,0.000334717,0.007899
U4,P08,0.000346765,0.00789175
U4,P10,0.000343218,0.007893879999999999
U4,P09,0.000344408,0.00789316
U4,R10,0.000344073,0.00789337
U4,H02,0.000335779,0.00789836
U4,M04,0.000350758,0.00788935
U4,M03,0.000351726,0.00788876
U4,G02,0.000332884,0.0079001
U4,J02,0.000340817,0.007895329999999999
U4,H01,0.00033306,0.0079
U4,K02,0.000344876,0.00789289
U4,J01,0.000336057,0.007898200000000001
U4,L02,0.000346449,0.00789194
U4,L01,0.000342471,0.00789434
U4,N06,0.000350999,0.007889199999999999
U4,N04,0.000355548,0.00788647
U4,P06,0.000353985,0.0078874
U4,N05,0.000353459,0.00788772
U4,R08,0.000347251,0.00789146
U4,P05,0.000356716,0.00788575
U4,R06,0.000354297,0.00788722
U4,R05,0.000355608,0.00788642
U4,N03,0.00035501,0.007886790000000001
U4,P04,0.000357526,0.00788528
U4,P03,0.00035599,0.00788619
U4,R03,0.000354211,0.00788726
U4,R04,0.00035602,0.00788618
U4,R02,0.000348862,0.00789049
U4,N01,3.701,-0.0375082
U4,N02,3.70084,-0.0374743
U4,P02,3.70075,-0.0374565
U4,P01,3.70126,-0.0375609
U20,3,4.99676,-0.05
U20,6,0.00042356,0.05
U21,10,4.95778,-0.853932
R65,2,3.79985,-4.05774e-06
R66,1,0.000264184,3.54143e-06
U22,10,4.98364,-0.0001
R68,2,5.00004,-5.33949e-06
R70,1,0.000232805,4.66013e-06
U1,1,3.70579,-0.3
U1,6,3.70579,0.3
FB1,1,3.70416,-0.15
FB1,2,3.70416,0.15
FB2,1,3.70444,-0.15
FB2,2,3.70444,0.15
