x,y,layer1,layer2,voltage1,voltage2,current
-71.7804,71.7804,TOP_LAYER,MID_LAYER_1,0.000175178,0.000175097,0.00102634
-71.7804,71.7804,MID_LAYER_1,MID_LAYER_2,0.000175097,0.000174307,0.00166236
-71.7804,71.7804,MID_LAYER_2,MID_LAYER_3,0.000174307,0.000174102,0.00205064
-71.7804,71.7804,MID_LAYER_3,MID_LAYER_4,0.000174102,0.000172941,0.00244441
-71.7804,71.7804,MID_LAYER_4,BOTTOM_LAYER,0.000172941,0.000172757,0.00233787
-71.7804,111.151,TOP_LAYER,MID_LAYER_1,0.000176145,0.000176063,0.00103611
-71.7804,111.151,MID_LAYER_1,MID_LAYER_2,0.000176063,0.000175282,0.00164569
-71.7804,111.151,MID_LAYER_2,MID_LAYER_3,0.000175282,0.000175075,0.00206895
-71.7804,111.151,MID_LAYER_3,MID_LAYER_4,0.000175075,0.000173922,0.00242757
-71.7804,111.151,MID_LAYER_4,BOTTOM_LAYER,0.000173922,0.000173756,0.00209771
-71.7804,150.521,TOP_LAYER,MID_LAYER_1,0.000177317,0.000177234,0.00105211
-71.7804,150.521,MID_LAYER_1,MID_LAYER_2,0.000177234,0.000176455,0.00163982
-71.7804,150.521,MID_LAYER_2,MID_LAYER_3,0.000176455,0.000176244,0.00210309
-71.7804,150.521,MID_LAYER_3,MID_LAYER_4,0.000176244,0.000175079,0.00245365
-71.7804,150.521,MID_LAYER_4,BOTTOM_LAYER,0.000175079,0.000174931,0.00187439
-71.7804,189.891,TOP_LAYER,MID_LAYER_1,0.000178696,0.000178624,0.000909388
-71.7804,189.891,MID_LAYER_1,MID_LAYER_2,0.000178624,0.000177863,0.00160311
-71.7804,189.891,MID_LAYER_2,MID_LAYER_3,0.000177863,0.000177645,0.00217394
-71.7804,189.891,MID_LAYER_3,MID_LAYER_4,0.000177645,0.000176417,0.0025859
-71.7804,189.891,MID_LAYER_4,BOTTOM_LAYER,0.000176417,0.000176239,0.00226021
-71.7804,229.261,TOP_LAYER,MID_LAYER_1,0.000180261,0.000180189,0.000909377
-71.7804,229.261,MID_LAYER_1,MID_LAYER_2,0.000180189,0.000179428,0.00160409
-71.7804,229.261,MID_LAYER_2,MID_LAYER_3,0.000179428,0.000179209,0.00218443
-71.7804,229.261,MID_LAYER_3,MID_LAYER_4,0.000179209,0.00017798,0.00258903
-71.7804,229.261,MID_LAYER_4,BOTTOM_LAYER,0.00017798,0.000177799,0.00228206
-71.7804,268.631,TOP_LAYER,MID_LAYER_1,0.000181991,0.000181903,0.00111603
-71.7804,268.631,MID_LAYER_1,MID_LAYER_2,0.000181903,0.000181114,0.00166294
-71.7804,268.631,MID_LAYER_2,MID_LAYER_3,0.000181114,0.000180901,0.002123
-71.7804,268.631,MID_LAYER_3,MID_LAYER_4,0.000180901,0.000179737,0.00245101
-71.7804,268.631,MID_LAYER_4,BOTTOM_LAYER,0.000179737,0.000179589,0.00188055
-71.7804,308.001,TOP_LAYER,MID_LAYER_1,0.000183762,0.000183674,0.0011097
-71.7804,308.001,MID_LAYER_1,MID_LAYER_2,0.000183674,0.00018292,0.00158791
-71.7804,308.001,MID_LAYER_2,MID_LAYER_3,0.00018292,0.000182715,0.00204694
-71.7804,308.001,MID_LAYER_3,MID_LAYER_4,0.000182715,0.000181604,0.00234081
-71.7804,308.001,MID_LAYER_4,BOTTOM_LAYER,0.000181604,0.000181447,0.00198105
-71.7804,347.371,TOP_LAYER,MID_LAYER_1,0.000185532,0.000185454,0.000988186
-71.7804,347.371,MID_LAYER_1,MID_LAYER_2,0.000185454,0.000184762,0.00145819
-71.7804,347.371,MID_LAYER_2,MID_LAYER_3,0.000184762,0.000184574,0.00186928
-71.7804,347.371,MID_LAYER_3,MID_LAYER_4,0.000184574,0.000183565,0.00212491
-71.7804,347.371,MID_LAYER_4,BOTTOM_LAYER,0.000183565,0.000183426,0.00175919
-71.7804,386.741,TOP_LAYER,MID_LAYER_1,0.000187324,0.000187254,0.0008756
