refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,4.99917,0.414002,0
VCOMP0,VCOMP0-1,4.99917,0.414002,0
VCOMP0,VCOMP0-2,0,-0.207001,0
VCOMP0,VCOMP0-3,0,-0.207001,0
VCOMP0,VCOMP0-4,0,-0.207001,0
VCOMP0,VCOMP0-5,0,-0.207001,0
VCOMP1,VCOMP1-0,5.00048,0.0130139,0
VCOMP1,VCOMP1-1,5.00048,0.0130139,0
VCOMP1,VCOMP1-2,0.000507006,-0.00650695,0
VCOMP1,VCOMP1-3,0.000507006,-0.00650695,0
VCOMP1,VCOMP1-4,0.000507006,-0.00650695,0
VCOMP1,VCOMP1-5,0.000507006,-0.00650695,0
VCOMP5,VCOMP5-0,3.79916,1,0
VCOMP5,VCOMP5-1,0.000162413,-0.333335,0
VCOMP5,VCOMP5-2,0.000162413,-0.333335,0
VCOMP5,VCOMP5-3,0.000162413,-0.333335,0
VCOMP8,VCOMP8-0,5.00014,0.0500053,0
VCOMP8,VCOMP8-1,0.000190237,-0.0166684,0
VCOMP8,VCOMP8-2,0.000190237,-0.0166684,0
VCOMP8,VCOMP8-3,0.000190237,-0.0166684,0
VCOMP2,VCOMP2-0,3.45636,-0.24961,0.76
VCOMP2,VCOMP2-1,3.45695,-0.25039,0.76
VCOMP2,VCOMP2-2,0.000548385,0.0132026,0.76
VCOMP2,VCOMP2-3,0.000491571,0.0132774,0.76
VCOMP2,VCOMP2-4,0.000461075,0.0133175,0.76
VCOMP2,VCOMP2-5,0.000451643,0.0133299,0.76
VCOMP2,VCOMP2-6,0.000524874,0.0132335,0.76
VCOMP2,VCOMP2-7,0.000534899,0.0132203,0.76
VCOMP2,VCOMP2-8,0.000513403,0.0132486,0.76
VCOMP2,VCOMP2-9,0.000549898,0.0132006,0.76
VCOMP2,VCOMP2-10,0.000556707,0.0131917,0.76
VCOMP2,VCOMP2-11,0.000564819,0.013181,0.76
VCOMP2,VCOMP2-12,0.000602123,0.0131319,0.76
VCOMP2,VCOMP2-13,0.000591182,0.0131463,0.76
VCOMP2,VCOMP2-14,0.000594655,0.0131417,0.76
VCOMP2,VCOMP2-15,0.000594274,0.0131422,0.76
VCOMP2,VCOMP2-16,0.000558708,0.013189,0.76
VCOMP2,VCOMP2-17,0.000613222,0.0131173,0.76
VCOMP2,VCOMP2-18,0.000616352,0.0131132,0.76
VCOMP2,VCOMP2-19,0.000548141,0.0132029,0.76
VCOMP2,VCOMP2-20,0.000576578,0.0131655,0.76
VCOMP2,VCOMP2-21,0.000549125,0.0132016,0.76
VCOMP2,VCOMP2-22,0.000591347,0.0131461,0.76
VCOMP2,VCOMP2-23,0.000559658,0.0131878,0.76
VCOMP2,VCOMP2-24,0.000597938,0.0131374,0.76
VCOMP2,VCOMP2-25,0.000585282,0.0131541,0.76
VCOMP2,VCOMP2-26,0.000615,0.013115,0.76
VCOMP2,VCOMP2-27,0.000629786,0.0130955,0.76
VCOMP2,VCOMP2-28,0.000625445,0.0131012,0.76
VCOMP2,VCOMP2-29,0.000622955,0.0131045,0.76
VCOMP2,VCOMP2-30,0.000604113,0.0131293,0.76
VCOMP2,VCOMP2-31,0.000634323,0.0130895,0.76
VCOMP2,VCOMP2-32,0.000626891,0.0130993,0.76
VCOMP2,VCOMP2-33,0.000631138,0.0130937,0.76
VCOMP2,VCOMP2-34,0.000627958,0.0130979,0.76
VCOMP2,VCOMP2-35,0.000636951,0.0130861,0.76
VCOMP2,VCOMP2-36,0.000631857,0.0130928,0.76
VCOMP2,VCOMP2-37,0.000626417,0.0130999,0.76
VCOMP2,VCOMP2-38,0.000632395,0.0130921,0.76
VCOMP2,VCOMP2-39,0.000608796,0.0131231,0.76
VCOMP3,VCOMP3-0,3.46262,-0.125091,1.44762
VCOMP3,VCOMP3-1,3.46208,-0.124715,1.44762
VCOMP3,VCOMP3-2,3.46179,-0.124518,1.44762
VCOMP3,VCOMP3-3,3.46347,-0.125676,1.44762
VCOMP3,VCOMP3-4,0.000548385,0.0131814,1.44762
VCOMP3,VCOMP3-5,0.000491571,0.0132206,1.44762
VCOMP3,VCOMP3-6,0.000461075,0.0132417,1.44762
VCOMP3,VCOMP3-7,0.000451643,0.0132482,1.44762
VCOMP3,VCOMP3-8,0.000524874,0.0131976,1.44762
VCOMP3,VCOMP3-9,0.000534899,0.0131907,1.44762
VCOMP3,VCOMP3-10,0.000513403,0.0132055,1.44762
VCOMP3,VCOMP3-11,0.000549898,0.0131803,1.44762
VCOMP3,VCOMP3-12,0.000556707,0.0131756,1.44762
VCOMP3,VCOMP3-13,0.000564819,0.01317,1.44762
VCOMP3,VCOMP3-14,0.000602123,0.0131442,1.44762
VCOMP3,VCOMP3-15,0.000591182,0.0131518,1.44762
VCOMP3,VCOMP3-16,0.000594655,0.0131494,1.44762
VCOMP3,VCOMP3-17,0.000594274,0.0131497,1.44762
VCOMP3,VCOMP3-18,0.000558708,0.0131742,1.44762
VCOMP3,VCOMP3-19,0.000613222,0.0131366,1.44762
VCOMP3,VCOMP3-20,0.000616352,0.0131344,1.44762
VCOMP3,VCOMP3-21,0.000548141,0.0131815,1.44762
VCOMP3,VCOMP3-22,0.000576578,0.0131619,1.44762
VCOMP3,VCOMP3-23,0.000549125,0.0131808,1.44762
VCOMP3,VCOMP3-24,0.000591347,0.0131517,1.44762
VCOMP3,VCOMP3-25,0.000559658,0.0131736,1.44762
VCOMP3,VCOMP3-26,0.000597938,0.0131471,1.44762
VCOMP3,VCOMP3-27,0.000585282,0.0131559,1.44762
VCOMP3,VCOMP3-28,0.000615,0.0131353,1.44762
VCOMP3,VCOMP3-29,0.000629786,0.0131251,1.44762
VCOMP3,VCOMP3-30,0.000625445,0.0131281,1.44762
VCOMP3,VCOMP3-31,0.000622955,0.0131298,1.44762
VCOMP3,VCOMP3-32,0.000604113,0.0131429,1.44762
VCOMP3,VCOMP3-33,0.000634323,0.013122,1.44762
VCOMP3,VCOMP3-34,0.000626891,0.0131271,1.44762
VCOMP3,VCOMP3-35,0.000631138,0.0131242,1.44762
VCOMP3,VCOMP3-36,0.000627958,0.0131264,1.44762
VCOMP3,VCOMP3-37,0.000636951,0.0131202,1.44762
VCOMP3,VCOMP3-38,0.000631857,0.0131237,1.44762
VCOMP3,VCOMP3-39,0.000626417,0.0131275,1.44762
VCOMP3,VCOMP3-40,0.000632395,0.0131233,1.44762
VCOMP3,VCOMP3-41,0.000608796,0.0131396,1.44762
VCOMP4,VCOMP4-0,4.99677,-0.05,2
VCOMP4,VCOMP4-1,0.000436877,0.05,2
VCOMP6,VCOMP6-0,4.95695,-0.853932,0.175658
VCOMP6,VCOMP6-1,0.000162413,0.284644,0.175658
VCOMP6,VCOMP6-2,0.000162413,0.284644,0.175658
VCOMP6,VCOMP6-3,0.000162413,0.284644,0.175658
VCOMP7,VCOMP7-0,3.79748,-4.05525e-06,500000
VCOMP7,VCOMP7-1,0.000216888,3.53928e-06,500000
VCOMP9,VCOMP9-0,4.98365,-0.0001,150000
VCOMP9,VCOMP9-1,0.000190237,3.33333e-05,150000
VCOMP9,VCOMP9-2,0.000190237,3.33333e-05,150000
VCOMP9,VCOMP9-3,0.000190237,3.33333e-05,150000
VCOMP10,VCOMP10-0,5.00005,-5.33951e-06,500000
VCOMP10,VCOMP10-1,0.000221374,4.66015e-06,500000
VCOMP11,VCOMP11-0,3.47859,-1,5e-07
VCOMP11,VCOMP11-1,3.47858,1,5e-07
VCOMP12,VCOMP12-0,3.47316,-0.5,5e-07
VCOMP12,VCOMP12-1,3.47316,0.5,5e-07
VCOMP13,VCOMP13-0,3.47409,-0.5,5e-07
VCOMP13,VCOMP13-1,3.47409,0.5,5e-07
