Line #,Comment,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"","GE910 2G GSM Module","Telit GE910 GPRS/UMTS Module","U5","1","","","","","","",""
"","MFF2 SIM Chip","SIM Chip MFF2","U6","1","","","","","","",""
"","Multilayer Ceramic Capacitor","Capacitor - 100nF [0402-6V3] (Ceramic)","C2, C5, C7, C8, C13, C19, C23, C25, C36, C37, C55, C56, C106, C108, C109, C110, C111, C112, C115, C116, C117, C126, C127, C128, C131, C132, C133, C136, C137, C140, C141, C142, C150, C151, C152, C153","36","Kyocera AVX","04026D104KAT4A","Volume Production","Avnet","04026D104KAT4A","0.00218","109"
"","Thick Film Resistor","Thick Film Resistors - SMD 1/16 W 100 Kohms 1%","R1","1","Yageo","CRCW0402100KFKED","Unknown","Arrow Electronics","CRCW0402100KFKED","0.005","0.5"
"","Thick Film Resistor","Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R4, R6, R18, R19, R20, R30, R31, R32, R39, R48, R59, R60, R62","13","Vishay","CRCW0402330RFKED","Volume Production","Mouser","71-CRCW0402-330-E3","0.005","6.5"
"","Thick Film Resistor","Thick Film Resistors - SMD 1/16 W 0 Ohms","R8, R9, R15","3","Vishay","CRCW04020000Z0ED","Volume Production","Mouser","71-CRCW0402-0-E3","0.007","2.1"
"","Thick Film Resistor","Thick Film Resistors - SMD 1/16 W 91 Kohms 1%","R3","1","Vishay","CRCW040291K0FKED","Volume Production","Digi-Key","541-91.0KLCT-ND","0.0133","1.33"
"","Thick Film Resistor","Thick Film Resistors - SMD 1/16 W 249 Kohms 1%","R23","1","Vishay","CRCW0402249KFKED","Volume Production","Digi-Key","541-249KLCT-ND","0.0133","1.33"
"","Thick Film Resistor","Thick Film Resistors - SMD 1/16 W 604 Kohms 1%","R2","1","Vishay","CRCW0402390KFKED","Volume Production","Mouser","71-CRCW0402390KFKED","0.014","1.4"
