Comment,Designator,Footprint

"Voltage Level Shifter","U6","VQFN16"
"Voltage Level Shifter","U7","VQFN16"
"Voltage Level Shifter","U8","VQFN16"
"Voltage Level Shifter","U13","TSSOP-20"
"Thick Film Resistor","R1","RESISTOR_0402"
"Thick Film Resistor","R2","RESISTOR_0402"
"Thick Film Resistor","R3","RESISTOR_0402"
"Thick Film Resistor","R4","RESISTOR_0402"
"Thick Film Resistor","R5","RESISTOR_0402"
"Thick Film Resistor","R6","RESISTOR_0402"
"Thick Film Resistor","R7","RESISTOR_0402"
"Thick Film Resistor","R8","RESISTOR_0402"
"Thick Film Resistor","R9","RESISTOR_0402"
"Thick Film Resistor","R10","RESISTOR_0402"
"Thick Film Resistor","R11","RESISTOR_0402"
"Thick Film Resistor","R12","RESISTOR_0402"
"Thick Film Resistor","R13","RESISTOR_0402"
"Thick Film Resistor","R14","RESISTOR_0402"
"Thick Film Resistor","R15","RESISTOR_0402"
"Thick Film Resistor","R16","RESISTOR_0402"
"Thick Film Resistor","R17","RESISTOR_0402"
"Thick Film Resistor","R18","RESISTOR_0402"
"Thick Film Resistor","R19","RESISTOR_0402"
"Thick Film Resistor","R20","RESISTOR_0402"
"Thick Film Resistor","R21","RESISTOR_0402"
"Thick Film Resistor","R22","RESISTOR_0402"
"Thick Film Resistor","R23","RESISTOR_0402"
"Thick Film Resistor","R24","RESISTOR_0402"
"Thick Film Resistor","R25","RESISTOR_0402"
"Thick Film Resistor","R26","RESISTOR_0402"
"Thick Film Resistor","R27","RESISTOR_0402"
"Thick Film Resistor","R28","RESISTOR_0402"
"Thick Film Resistor","R29","RESISTOR_0402"
"Thick Film Resistor","R30","RESISTOR_0402"
"Thick Film Resistor","R31","RESISTOR_0402"
"Thick Film Resistor","R32","RESISTOR_0402"
"Thick Film Resistor","R33","RESISTOR_0402"
"Thick Film Resistor","R34","RESISTOR_0402"
"Thick Film Resistor","R35","RESISTOR_0402"
"Thick Film Resistor","R36","RESISTOR_0402"
"Thick Film Resistor","R37","RESISTOR_0402"
"Thick Film Resistor","R38","RESISTOR_0402"
"Thick Film Resistor","R39","RESISTOR_0402"
"Thick Film Resistor","R40","RESISTOR_0402"
"Thick Film Resistor","R41","RESISTOR_0402"
"Thick Film Resistor","R42","RESISTOR_0402"
"Thick Film Resistor","R43","RESISTOR_0402"
"Thick Film Resistor","R44","RESISTOR_0402"
"Thick Film Resistor","R45","RESISTOR_0402"
"Thick Film Resistor","R46","RESISTOR_0402"
"Thick Film Resistor","R47","RESISTOR_0402"
"Thick Film Resistor","R48","RESISTOR_0402"
"Thick Film Resistor","R49","RESISTOR_0402"
"Thick Film Resistor","R50","RESISTOR_0402"
"Thick Film Resistor","R51","RESISTOR_0402"
"Thick Film Resistor","R52","RESISTOR_0402"
"Thick Film Resistor","R53","RESISTOR_0402"
"Thick Film Resistor","R54","RESISTOR_0402"
"Thick Film Resistor","R55","RESISTOR_0402"
"Thick Film Resistor","R56","RESISTOR_0402"
"Thick Film Resistor","R57","RESISTOR_0402"
"Thick Film Resistor","R58","RESISTOR_0402"
"Thick Film Resistor","R59","RESISTOR_0402"
"Thick Film Resistor","R60","RESISTOR_0402"
"Thick Film Resistor","R61","RESISTOR_0402"
"Thick Film Resistor","R62","RESISTOR_0402"
"Thick Film Resistor","R63","RESISTOR_0402"
"Thick Film Resistor","R64","RESISTOR_0402"
"Thick Film Resistor","R65","RESISTOR_0402"
"Thick Film Resistor","R66","RESISTOR_0402"
"Thick Film Resistor","R67","RESISTOR_0402"
"Thick Film Resistor","R68","RESISTOR_0402"
"Thick Film Resistor","R69","RESISTOR_0402"
"Thick Film Resistor","R70","RESISTOR_0402"
"Tantalum Capacitor","C1","CAPACITOR_0603 - TANTALUM"
"Tantalum Capacitor","C7","CAPACITOR_0603 - TANTALUM"
"Tantalum Capacitor","C14","CAPACITOR_0603 - TANTALUM"
"SPI Switch IC","U12","TSSOP-16"
"SMD LED (Blue)","D4","LED_0402"
"Security ICs / Authentication ICs","U18","SOT-23-5"
"Real Time Clock","U17","RV-3028-C7"
"Power Switch","U1","SOT-23-6"
"Power Switch","U2","SOT-23-6"
"Power Switch","U10","SOT-23-6"
"Piezo Buzzers & Audio Indicators","PZ1","Murata Piezzo Buzzer"
"Nanopower Timer IC","U9","SOT-23-6"
"Multilayer Ceramic Capacitor","C2","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C3","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C4","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C5","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C6","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C8","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C9","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C10","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C11","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C12","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C13","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C15","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C16","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C17","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C18","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C19","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C20","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C21","CAPACITOR_0402"
