Altium Designer Pick and Place Locations
C:\Altium Projects\B100\[AA]\Design Files\B100AA\output/fabrication/\Pick Place\Pick Place for B100AA PCB R1.txt

========================================================================================================================
File Design Information:

Date:       11.02.21
Time:       16:12
Revision:   fdc6064957f87d3eb0006766d6d64a546ba0d33c
Variant:    No variations
Units used: mil

Designator Comment                                Layer       Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                             
C145       "Multilayer Ceramic Capacitor"         BottomLayer CAPACITOR_0402            196.850       612.402       360      "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
C144       "Multilayer Ceramic Capacitor"         BottomLayer CAPACITOR_0402            196.850       562.402       360      "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
C143       "Multilayer Ceramic Capacitor"         BottomLayer CAPACITOR_0402            196.850       512.402       360      "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
C142       "Multilayer Ceramic Capacitor"         BottomLayer CAPACITOR_0402            196.850       462.402       360      "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
C141       "Multilayer Ceramic Capacitor"         BottomLayer CAPACITOR_0402            196.850       412.402       360      "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
C140       "Multilayer Ceramic Capacitor"         BottomLayer CAPACITOR_0402            196.850       362.402       360      "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
C139       "Multilayer Ceramic Capacitor"         BottomLayer CAPACITOR_0402            196.850       312.402       360      "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
C138       "Multilayer Ceramic Capacitor"         BottomLayer CAPACITOR_0402            196.850       262.402       360      "Capacitor - 33pF [0402] (Ceramic)"                                                                                     
R24        "Thick Film Resistor"                  TopLayer    RESISTOR_0402             944.882       1181.102      360      "Thick Film Resistors - SMD 1/16 W 4.7 Kohms 1%"                                                                        
R23        "Thick Film Resistor"                  TopLayer    RESISTOR_0402             1102.362      1181.102      360      "Thick Film Resistors - SMD 1/16 W 4.7 Kohms 1%"                                                                        
R22        "Thick Film Resistor"                  TopLayer    RESISTOR_0402             1259.842      1181.102      360      "Thick Film Resistors - SMD 1/16 W 4.7 Kohms 1%"                                                                        
R21        "Thick Film Resistor"                  TopLayer    RESISTOR_0402             944.882       1299.213      360      "Thick Film Resistors - SMD 1/16 W 22R Ohms 1%"                                                                         
X2         "7.3728 MHz"                           BottomLayer ABRACON_CRYSTAL           1220.472      787.402       360      "Crystals 7.3728MHz 18pF -40C +85C"                                                                                     
X1         "7.3728 MHz"                           BottomLayer ABRACON_CRYSTAL           2125.984      590.551       180      "Crystals 7.3728MHz 18pF -40C +85C"                                                                                     
U20        "Analog to Digital Converters - ADC"   TopLayer    DFN-8                     936.614       472.441       360      "Analog to Digital Converters - ADC 18B delta-sigma ADC dual Ch 4sps"                                                   
U19        EEPROM                                 BottomLayer SOIC-8                    1692.913      1299.213      270      EEPROM                                                                                                                  
U18        "Security ICs / Authentication ICs"    BottomLayer SOT-23-5                  1749.606      847.244       180      "Security ICs / Authentication ICs I C/SMBus Silicon Serial Number"                                                     
U17        "Real Time Clock"                      BottomLayer RV-3028-C7                2047.244      787.402       270      "Real Time Clock 32.768kHz I2C Time Acc. 1ppm"                                                                          
